method,direction,model,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
source_classifier,rx1_to_rx2,ours_fused,0,0,-1,,,0.16666666666666666,0.11805555555555554
RCPA-S,rx1_to_rx2,ours_fused,0,0,0,1.0,cosine,0.125,0.08333333333333333
RCPA-B,rx1_to_rx2,ours_fused,0,0,0,0.5,cosine,0.125,0.08333333333333333
RCPA-S,rx1_to_rx2,ours_fused,0,0,1,1.0,cosine,0.125,0.08333333333333333
RCPA-T,rx1_to_rx2,ours_fused,0,0,1,0.0,cosine,0.375,0.2805555555555555
RCPA-B,rx1_to_rx2,ours_fused,0,0,1,0.5,cosine,0.16666666666666666,0.11388888888888889
RCPA-S,rx1_to_rx2,ours_fused,0,0,3,1.0,cosine,0.125,0.08333333333333333
RCPA-T,rx1_to_rx2,ours_fused,0,0,3,0.0,cosine,0.3333333333333333,0.24583333333333332
RCPA-B,rx1_to_rx2,ours_fused,0,0,3,0.5,cosine,0.4166666666666667,0.34722222222222215
RCPA-S,rx1_to_rx2,ours_fused,0,0,5,1.0,cosine,0.125,0.08333333333333333
RCPA-T,rx1_to_rx2,ours_fused,0,0,5,0.0,cosine,0.4583333333333333,0.3680555555555555
RCPA-B,rx1_to_rx2,ours_fused,0,0,5,0.5,cosine,0.2916666666666667,0.20138888888888887
RCPA-S,rx1_to_rx2,ours_fused,0,0,10,1.0,cosine,0.125,0.08333333333333333
RCPA-T,rx1_to_rx2,ours_fused,0,0,10,0.0,cosine,0.5833333333333334,0.4930555555555555
RCPA-B,rx1_to_rx2,ours_fused,0,0,10,0.5,cosine,0.3333333333333333,0.27777777777777773
RCPA-S,rx1_to_rx2,ours_fused,0,0,20,1.0,cosine,0.125,0.08333333333333333
RCPA-T,rx1_to_rx2,ours_fused,0,0,20,0.0,cosine,0.7083333333333334,0.6180555555555555
RCPA-B,rx1_to_rx2,ours_fused,0,0,20,0.5,cosine,0.375,0.2986111111111111
source_classifier,rx1_to_rx2,ours_fused,0,1,-1,,,0.25,0.1875
RCPA-S,rx1_to_rx2,ours_fused,0,1,0,1.0,cosine,0.041666666666666664,0.027777777777777776
RCPA-B,rx1_to_rx2,ours_fused,0,1,0,0.5,cosine,0.041666666666666664,0.027777777777777776
RCPA-S,rx1_to_rx2,ours_fused,0,1,1,1.0,cosine,0.041666666666666664,0.027777777777777776
RCPA-T,rx1_to_rx2,ours_fused,0,1,1,0.0,cosine,0.2916666666666667,0.2063492063492063
RCPA-B,rx1_to_rx2,ours_fused,0,1,1,0.5,cosine,0.3333333333333333,0.22996031746031745
RCPA-S,rx1_to_rx2,ours_fused,0,1,3,1.0,cosine,0.041666666666666664,0.027777777777777776
RCPA-T,rx1_to_rx2,ours_fused,0,1,3,0.0,cosine,0.5416666666666666,0.44940476190476186
